0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757,0.0397757
0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774,0.0397774
0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791,0.0397791
0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807,0.0397807
0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824,0.0397824
0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784,0.039784
0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857,0.0397857
0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874,0.0397874
0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789,0.039789
0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907,0.0397907
