0.0198879,0.28161
0.0596644,0.28161
0.0994427,0.28161
0.139223,0.28161
0.179004,0.28161
0.218787,0.28161
0.258572,0.28161
0.298359,0.28161
0.338147,0.28161
0.377937,0.28161
0.417728,0.28161
0.457521,0.28161
0.497316,0.28161
0.537113,0.28161
0.576911,0.28161
0.61671,0.28161
0.656512,0.28161
0.696315,0.28161
0.736119,0.28161
0.775925,0.28161
0.815733,0.28161
0.855543,0.28161
0.895354,0.28161
0.935166,0.28161
0.974981,0.28161
1.0148,0.28161
1.05461,0.28161
1.09443,0.28161
1.13425,0.28161
1.17408,0.28161
1.2139,0.28161
1.25373,0.28161
1.29355,0.28161
1.33338,0.28161
1.37321,0.28161
1.41304,0.28161
1.45288,0.28161
1.49271,0.28161
1.53255,0.28161
1.57239,0.28161
1.61223,0.28161
1.65207,0.28161
1.69191,0.28161
1.73175,0.28161
1.7716,0.28161
1.81145,0.28161
1.8513,0.28161
1.89115,0.28161
1.931,0.28161
1.97085,0.28161
2.01071,0.28161
2.05056,0.28161
2.09042,0.28161
2.13028,0.28161
2.17014,0.28161
2.21001,0.28161
2.24987,0.28161
2.28974,0.28161
2.3296,0.28161
2.36947,0.28161
2.40934,0.28161
2.44921,0.28161
2.48909,0.28161
2.52896,0.28161
2.56884,0.28161
2.60872,0.28161
2.64859,0.28161
2.68848,0.28161
2.72836,0.28161
2.76824,0.28161
2.80813,0.28161
2.84801,0.28161
2.8879,0.28161
2.92779,0.28161
2.96768,0.28161
3.00757,0.28161
3.04747,0.28161
3.08736,0.28161
3.12726,0.28161
3.16716,0.28161
3.20706,0.28161
3.24696,0.28161
3.28686,0.28161
3.32677,0.28161
3.36667,0.28161
3.40658,0.28161
3.44649,0.281488
3.4864,0.281367
3.52631,0.281245
3.56622,0.281123
3.60614,0.281001
3.64605,0.280879
3.68597,0.280757
3.72589,0.280635
3.76581,0.280513
3.80573,0.280391
3.84565,0.280269
3.88557,0.280147
3.9255,0.280025
3.96543,0.279904
4.00536,0.279782
4.04528,0.27966
4.08522,0.279538
4.12515,0.279416
4.16508,0.279294
4.20502,0.279172
4.24495,0.27905
4.28489,0.278928
4.32483,0.278806
4.36477,0.278684
4.40471,0.278562
4.44466,0.27844
4.4846,0.278318
4.52455,0.278196
4.56449,0.278074
4.60444,0.277952
4.64439,0.27783
4.68435,0.277708
4.7243,0.277586
4.76425,0.277464
4.80421,0.277342
4.84416,0.27722
4.88412,0.277098
4.92408,0.276976
4.96404,0.276854
5.004,0.276731
5.04397,0.276609
5.08393,0.276487
5.1239,0.276365
5.16387,0.276243
5.20383,0.276121
5.2438,0.275999
5.28378,0.275877
5.32375,0.275755
5.36372,0.275633
5.4037,0.275511
5.44367,0.275389
5.48365,0.275267
5.52363,0.275144
5.56361,0.275022
5.60359,0.2749
5.64357,0.274778
5.68356,0.274656
5.72354,0.274534
5.76353,0.267801
5.80352,0.261067
5.84351,0.254333
5.8835,0.247599
5.92349,0.240865
5.96348,0.234131
6.00348,0.227396
6.04347,0.220661
6.08347,0.213926
6.12347,0.207191
6.16347,0.200456
6.20347,0.19372
6.24347,0.186984
6.28347,0.180248
6.32348,0.173512
6.36348,0.166776
6.40349,0.160039
6.44349,0.153302
6.4835,0.146687
6.52351,0.140072
6.56352,0.133457
6.60354,0.126842
6.64355,0.120226
6.68357,0.11361
6.72358,0.106994
6.7636,0.100378
6.80362,0.0937612
6.84364,0.0871445
6.88366,0.0805277
6.92368,0.0739106
6.9637,0.0672934
7.00373,0.060676
7.04375,0.0540583
7.08378,0.0474405
7.12381,0.0408225
7.16384,0.0342043
7.20387,0.0275859
7.2439,0.0209673
7.28393,0.0143485
7.32397,0.0077295
7.364,0.0077295
7.40404,0.0077295
7.44407,0.0077295
7.48411,0.0077295
7.52415,0.0077295
7.56419,0.0077295
7.60423,0.0077295
7.64428,0.0077295
7.68432,0.0077295
7.72437,0.0077295
7.76441,0.0077295
7.80446,0.0077295
7.84451,0.0077295
7.88456,0.0077295
7.92461,0.0077295
7.96466,0.0077295
8.00471,0.0077295
8.04477,0.0077295
8.08482,0.0077295
8.12488,0.0077295
8.16494,0.0077295
8.205,0.0077295
8.24506,0.0077295
8.28512,0.0077295
8.32518,0.0077295
8.36524,0.0077295
8.4053,0.0077295
8.44537,0.0077295
8.48544,0.0077295
8.5255,0.0077295
8.56557,0.0077295
8.60564,0.0077295
8.64571,0.0077295
8.68578,0.0077295
8.72585,0.0077295
8.76593,0.0077295
8.806,0.0077295
8.84608,0.0077295
8.88615,0.0077295
8.92623,0.0077295
8.96631,0.0077295
9.00639,0.0077295
9.04647,0.0077295
9.08655,0.0077295
9.12663,0.0077295
9.16672,0.0077295
9.2068,0.0077295
9.24689,0.0077295
9.28697,0.0077295
9.32706,0.0077295
9.36715,0.0077295
9.40724,0.0077295
9.44733,0.0077295
9.48742,0.0077295
9.52752,0.0077295
9.56761,0.0077295
9.6077,0.0077295
9.6478,0.0077295
9.6879,0.0077295
9.72799,0.0077295
9.76809,0.0077295
9.80819,0.0077295
9.84829,0.0077295
9.8884,0.0077295
9.9285,0.0077295
9.9686,0.0077295
10.0087,0.0077295
10.0488,0.0077295
10.0889,0.0077295
10.129,0.0077295
10.1691,0.0077295
10.2092,0.0077295
10.2494,0.0077295
10.2895,0.0077295
10.3296,0.0077295
10.3697,0.0077295
10.4098,0.0077295
10.4499,0.0077295
10.49,0.0077295
10.5302,0.0077295
10.5703,0.0077295
10.6104,0.0077295
10.6505,0.0077295
10.6906,0.0077295
10.7307,0.0077295
10.7709,0.0077295
10.811,0.0077295
10.8511,0.0077295
10.8912,0.0077295
10.9314,0.0077295
10.9715,0.0077295
11.0116,0.0077295
11.0517,0.0077295
11.0919,0.0077295
11.132,0.0077295
11.1721,0.0077295
11.2123,0.0077295
11.2524,0.0077295
11.2925,0.0077295
11.3327,0.0077295
11.3728,0.0077295
11.4129,0.0077295
11.4531,0.0077295
11.4932,0.0077295
11.5334,0.0077295
11.5735,0.0077295
11.6136,0.0077295
11.6538,0.0077295
11.6939,0.0077295
11.7341,0.0077295
11.7742,0.0077677
11.8144,0.0078059
11.8545,0.00784411
11.8946,0.00788232
11.9348,0.00792052
11.9749,0.00795873
12.0151,0.00799694
12.0552,0.00803515
12.0954,0.00807336
12.1355,0.00811157
12.1757,0.00814978
12.2158,0.008188
12.256,0.00822621
12.2962,0.00826442
12.3363,0.00830264
12.3765,0.00834086
12.4166,0.00837907
12.4568,0.00841729
12.4969,0.00845551
12.5371,0.00849373
12.5773,0.00853194
12.6174,0.00857017
12.6576,0.00860839
12.6977,0.00864661
12.7379,0.00868483
12.7781,0.00872305
12.8182,0.00876128
12.8584,0.0087995
12.8986,0.00883773
12.9387,0.00887595
12.9789,0.00891418
13.0191,0.00895241
13.0592,0.00899063
13.0994,0.00902886
13.1396,0.00906709
13.1797,0.00910532
13.2199,0.00914355
13.2601,0.00918178
13.3003,0.00922002
13.3404,0.00925825
13.3806,0.00929648
13.4208,0.00933472
13.461,0.00937295
